ticker,date,breakout_date,lead_days,breakout_day_ret_pct,top_rank,rank_weight,post_break_close_drawdown_pct,post_break_high_entry_drawdown_pct,safe_after_break,future_breakout,future_max_ret_pct,Open,High,Low,Close,Volume,vol_ratio_20,value_traded,dist_to_10d_high_pct,dist_to_20d_high_pct,range_10d_pct,close_pos_day,rsi14,macd_hist,macd_bullish,adx14,cmf20,obv_slope_5_pct,price_vs_sma20_pct,price_vs_sma50_pct,intraday_range_pct,consecutive_up
MLPL,2026-07-16,2026-07-21,3,6.818181818181812,16,0.6,-1.0638297872340385,-5.102040816326525,1,1,6.818181818181812,83.0,94.0,82.0,91.0,147603300.0,8.928609019145267,13431900300.0,3.296703296703297,3.296703296703297,15.384615384615385,0.7499999999375,67.98358842021742,1.2226386523968387,1,24.333630956817622,0.14089535130288833,62.3136592000206,12.415071031500922,7.768829938417815,13.186813186813188,1
TPIA,2026-07-20,2026-07-21,1,6.132075471698117,17,0.6,-11.111111111111116,-13.043478260869568,0,1,6.132075471698117,1955.0,2130.0,1955.0,2120.0,805070400.0,2.025240949266415,1706749248000.0,0.4716981132075472,0.4716981132075472,16.9811320754717,0.9428571428517551,53.85068642312304,86.54150073918345,1,32.04620504766341,-0.06866892149028576,16.287725616566913,14.610082443573456,-6.779324290691326,8.254716981132075,4
TPIA,2026-07-17,2026-07-21,2,6.132075471698117,17,0.6,-11.111111111111116,-13.043478260869568,0,1,6.132075471698117,1935.0,1980.0,1895.0,1945.0,320340100.0,0.8408623043651802,623061494500.0,2.827763496143959,6.940874035989718,11.825192802056556,0.5882352941107266,45.98640228484636,79.05051491320239,1,33.979665834859716,-0.22745232321578646,6.404851759105205,5.692161391115338,-17.088669332089225,4.370179948586118,3
TPIA,2026-07-16,2026-07-21,3,6.132075471698117,17,0.6,-11.111111111111116,-13.043478260869568,0,1,6.132075471698117,1925.0,1960.0,1890.0,1930.0,271533700.0,0.6801681447528785,524060041000.0,3.6269430051813467,13.471502590673575,11.917098445595855,0.5714285714204081,45.243731531336465,81.36294355607981,1,35.77012276871416,-0.26957666118076984,-1.0973225474130532,4.550379198266522,-20.707987416084134,3.6269430051813467,2
PANI,2026-07-20,2026-07-21,1,6.0975609756097615,18,0.6,-7.279693486590033,-7.279693486590033,0,1,6.0975609756097615,6250.0,6400.0,6100.0,6150.0,5706400.0,1.406920696754151,35094360000.0,4.0650406504065035,10.16260162601626,10.569105691056912,0.16666666666611113,45.85166724524427,81.09747818850155,1,28.989200256720032,-0.15614406328055733,-17.002521860048553,1.192924722336487,-9.622542025474907,4.878048780487805,0
PANI,2026-07-17,2026-07-21,2,6.0975609756097615,18,0.6,-7.279693486590033,-7.279693486590033,0,1,6.0975609756097615,6150.0,6225.0,5950.0,6200.0,5498700.0,1.378218744947947,34091940000.0,0.8064516129032258,12.903225806451612,8.064516129032258,0.9090909090876034,47.18312489423421,78.41341380288668,1,30.71783957187553,-0.15865114345165948,7.580678035192608,1.5977058582548138,-9.702068683108639,4.435483870967742,1
PANI,2026-07-16,2026-07-21,3,6.0975609756097615,18,0.6,-7.279693486590033,-7.279693486590033,0,1,6.0975609756097615,6150.0,6225.0,6025.0,6100.0,6648500.0,1.7059749537165925,40555850000.0,2.459016393442623,14.754098360655737,8.19672131147541,0.374999999998125,44.17243354676676,66.75038536970465,1,31.73785886963208,-0.19673614800876574,-1.7128630790857178,-0.48939641109298526,-11.786396589030316,3.278688524590164,0
MINA,2026-07-20,2026-07-21,1,5.594405594405605,20,0.6,-10.596026490066224,-11.184210526315786,0,1,5.594405594405605,288.0,294.0,282.0,286.0,100219300.0,1.2163833981804613,28662719800.0,2.797202797202797,7.6923076923076925,9.79020979020979,0.33333333330555553,51.65923932666082,3.609791569714994,1,14.547310374902198,-0.09210579559562655,20.18936984024422,4.53216374269005,-2.4689673987177767,4.195804195804196,0
MINA,2026-07-17,2026-07-21,2,5.594405594405605,20,0.6,-10.596026490066224,-11.184210526315786,0,1,5.594405594405605,276.0,292.0,272.0,288.0,220457500.0,2.697475697696493,63491760000.0,2.083333333333333,6.944444444444445,11.805555555555555,0.79999999996,52.472384760913926,3.3309703929249554,1,15.01541573191585,-0.10433033550498691,60.417483042768936,5.224698575082211,-2.5578562728380034,6.944444444444445,1
MINA,2026-07-16,2026-07-21,3,5.594405594405605,20,0.6,-10.596026490066224,-11.184210526315786,0,1,5.594405594405605,272.0,282.0,270.0,274.0,73872000.0,0.9437316364083265,20240928000.0,7.2992700729927,15.328467153284672,12.408759124087592,0.33333333330555553,47.05543286169096,2.526915056240716,1,15.665733238875722,-0.270809144352856,-14.540213458629319,-0.07293946024799003,-7.930107526881727,4.37956204379562,0
SMRA,2026-07-20,2026-07-21,1,5.228758169934644,21,0.35,-0.6211180124223614,-1.2345679012345734,1,1,5.228758169934644,302.0,310.0,302.0,306.0,12605900.0,0.9819269788252302,3857405400.0,1.3071895424836601,1.3071895424836601,11.11111111111111,0.4999999999375,65.74573490041274,3.336290447082994,1,26.1064529470882,-0.1074826849668827,36.91691624726834,7.708553326293551,6.089163667350719,2.6143790849673203,3
SMRA,2026-07-17,2026-07-21,2,5.228758169934644,21,0.35,-0.6211180124223614,-1.2345679012345734,1,1,5.228758169934644,300.0,304.0,296.0,302.0,7343800.0,0.5468832613717433,2217827600.0,0.6622516556291391,0.6622516556291391,9.271523178807946,0.74999999990625,63.35954612373157,2.8915127424859763,1,25.20678207941693,-0.048207546588704034,26.1052732693172,6.581965766719596,4.583017799294008,2.6490066225165565,2
SMRA,2026-07-16,2026-07-21,3,5.228758169934644,21,0.35,-0.6211180124223614,-1.2345679012345734,1,1,5.228758169934644,290.0,300.0,290.0,298.0,12247300.0,0.6724240686452005,3649695400.0,0.6711409395973155,1.6098310178596413,9.395973154362416,0.79999999992,60.82553488797792,2.3638746208523593,1,24.814193784778073,-0.3285080951993023,19.806750855092304,5.41146779071581,3.0938435132052793,3.3557046979865772,1
KOTA,2026-07-20,2026-07-21,1,5.102040816326525,23,0.35,-4.854368932038833,-9.259259259259256,0,1,5.102040816326525,96.0,101.0,94.0,98.0,231619000.0,1.5549009380768197,22698662000.0,3.061224489795918,5.1020408163265305,15.306122448979592,0.5714285713469388,51.666461910604404,1.744957817347938,1,15.651804576088002,0.029200169102819806,8.700468217019269,6.175514626218854,-4.632152588555863,7.142857142857142,1
KOTA,2026-07-17,2026-07-21,2,5.102040816326525,23,0.35,-4.854368932038833,-9.259259259259256,0,1,5.102040816326525,95.0,98.0,94.0,95.0,92136600.0,0.5401107244395433,8752977000.0,6.315789473684211,21.052631578947366,15.789473684210526,0.2499999999375,48.7603434603061,1.6443694647323923,1,16.091267776739752,-0.10586993191521094,0.7064566783781393,2.7027027027027026,-8.70651547184317,4.2105263157894735,0
KOTA,2026-07-16,2026-07-21,3,5.102040816326525,23,0.35,-4.854368932038833,-9.259259259259256,0,1,5.102040816326525,92.0,96.0,91.0,95.0,103755300.0,0.5668281985328122,9856753500.0,6.315789473684211,21.052631578947366,17.894736842105264,0.79999999984,48.76034346121356,1.7105299220732064,1,17.100854829932832,-0.06277563190733346,-2.5374557548473664,2.4258760107816713,-9.884272434073232,5.263157894736842,1
RAJA,2026-07-20,2026-07-21,1,4.918032786885251,24,0.35,-9.375,-9.84455958549223,0,1,4.918032786885251,885.0,915.0,870.0,915.0,199158300.0,1.0404539481439825,182229844500.0,4.043715846994536,4.043715846994536,18.360655737704917,0.9999999999777779,62.10014012888366,8.742714419230282,1,27.746332181667203,-0.015948287003093704,156.1090895142627,11.239199785294433,20.53381443944308,4.918032786885246,2
RAJA,2026-07-17,2026-07-21,2,4.918032786885251,24,0.35,-9.375,-9.84455958549223,0,1,4.918032786885251,875.0,915.0,875.0,885.0,141368800.0,0.7642187753610467,125111388000.0,7.5706214689265545,7.5706214689265545,18.983050847457626,0.24999999999375003,59.19938836140214,9.301837077335783,1,28.011536080292792,-0.07900225396549797,412.4306908245573,8.745745875727074,16.832700604492295,4.519774011299435,1
